"ORF","myStddev","myMean","myCV"
"YLR125W",0.995314887082474,5.45349301774824,0.182509610600628
"YNL292W",1.16277136547808,7.05754458259778,0.164755794578358
"YAR033W",0.227898940662849,7.38740716552467,0.0308496520574094
"YKL063C",0.112621682864198,9.34968384251183,0.0120455070739527
"YIL010W",0.243024508076327,8.21251866878262,0.0295919580676401
"YGR113W",0.648650003256172,7.28178459408623,0.0890784387913592
"YLR266C",1.15919819183089,6.87156394181555,0.168694958185111
"YPL050C",0.710065615108578,7.91969787540304,0.089658169576632
"YML019W",0.336346592670764,8.74267562112559,0.0384718142645055
"YKL166C",0.534931323322963,7.52923606756623,0.07104722424992
"YJR139C",0.129952586313742,11.480677249893,0.0113192439335365
"YNR038W",0.779633506669192,7.51186870703423,0.103786892060445
"YJL165C",0.064269904243555,9.14198323918041,0.00703019274506096
